customer_id,brand,model,purchase_date,price,transaction_type
0758f20a-4421-446c-883e-f677fd8819ac,Hoka,Arahi 3,2021-07-18,145,purchase
0758f20a-4421-446c-883e-f677fd8819ac,Hoka,Arahi 2,2020-03-19,145,purchase
0758f20a-4421-446c-883e-f677fd8819ac,Asics,Cumulus 23,2023-06-29,-165,return
0758f20a-4421-446c-883e-f677fd8819ac,Asics,Cumulus 23,2023-04-22,165,purchase
0758f20a-4421-446c-883e-f677fd8819ac,Asics,Nimbus 20,2020-08-01,165,purchase
0758f20a-4421-446c-883e-f677fd8819ac,Hoka,Bondi 4,2020-08-18,165,purchase
41aa9956-be64-464d-9d44-a6eb6b2690cf,Asics,Nimbus 21,2021-10-15,160,purchase
41aa9956-be64-464d-9d44-a6eb6b2690cf,Saucony,Endorphin Speed 1,2022-11-19,140,purchase
41aa9956-be64-464d-9d44-a6eb6b2690cf,Nike,Invincible 3,2024-08-23,160,purchase
41aa9956-be64-464d-9d44-a6eb6b2690cf,ON,Cloudflow 4,2024-09-29,160,purchase
41aa9956-be64-464d-9d44-a6eb6b2690cf,Brooks,Glycerin 20,2024-03-11,160,purchase
41aa9956-be64-464d-9d44-a6eb6b2690cf,Asics,GT-2000 11,2024-12-19,-160,return
41aa9956-be64-464d-9d44-a6eb6b2690cf,Asics,GT-2000 11,2024-07-04,160,purchase
1436762e-4ad1-493e-98aa-fad888ebc4c2,Nike,Structure 24,2024-07-18,160,purchase
1436762e-4ad1-493e-98aa-fad888ebc4c2,Nike,Vomero 15,2023-05-24,160,purchase
1436762e-4ad1-493e-98aa-fad888ebc4c2,Brooks,Glycerin 19,2023-07-31,160,purchase
1436762e-4ad1-493e-98aa-fad888ebc4c2,Asics,Kayano 25,2020-11-14,-160,return
1436762e-4ad1-493e-98aa-fad888ebc4c2,Asics,Kayano 25,2020-11-04,160,purchase
1436762e-4ad1-493e-98aa-fad888ebc4c2,New Balance,1080 12,2022-02-23,160,purchase
1436762e-4ad1-493e-98aa-fad888ebc4c2,ON,Cloudrunner 1,2021-11-29,-160,return
1436762e-4ad1-493e-98aa-fad888ebc4c2,ON,Cloudrunner 1,2021-02-23,160,purchase
8a3dfa55-199f-4c6a-9710-da1b8a5006f9,Nike,Vomero 12,2020-07-10,160,purchase
8a3dfa55-199f-4c6a-9710-da1b8a5006f9,New Balance,1080 11,2021-11-22,160,purchase
8a3dfa55-199f-4c6a-9710-da1b8a5006f9,New Balance,1080 14,2024-01-14,160,purchase
8a3dfa55-199f-4c6a-9710-da1b8a5006f9,Nike,Vomero 14,2022-06-16,160,purchase
8a3dfa55-199f-4c6a-9710-da1b8a5006f9,Nike,Structure 22,2022-03-03,160,purchase
dadfc9f4-b8b4-4012-a3f9-5bebdef0a50a,Hoka,Bondi 6,2022-02-15,160,purchase
dadfc9f4-b8b4-4012-a3f9-5bebdef0a50a,ON,Cloudflow 1,2021-01-27,160,purchase
dadfc9f4-b8b4-4012-a3f9-5bebdef0a50a,Nike,Pegasus 37,2022-03-02,140,purchase
dadfc9f4-b8b4-4012-a3f9-5bebdef0a50a,Nike,Vomero 16,2024-05-24,160,purchase
1ae4c41d-b8bf-4f4a-9ba0-0b9b43e8552b,Asics,Cumulus 21,2021-08-12,165,purchase
1ae4c41d-b8bf-4f4a-9ba0-0b9b43e8552b,Hoka,Clifton 9,2024-04-22,165,purchase
1ae4c41d-b8bf-4f4a-9ba0-0b9b43e8552b,New Balance,880 13,2023-06-24,-165,return
1ae4c41d-b8bf-4f4a-9ba0-0b9b43e8552b,New Balance,880 13,2023-05-02,165,purchase
1ae4c41d-b8bf-4f4a-9ba0-0b9b43e8552b,Asics,GT-2000 9,2022-01-06,145,purchase
1ae4c41d-b8bf-4f4a-9ba0-0b9b43e8552b,Asics,GT-2000 10,2023-10-18,145,purchase
1ae4c41d-b8bf-4f4a-9ba0-0b9b43e8552b,New Balance,1080 11,2021-04-01,165,purchase
d568d402-9eab-43e4-a749-27d46106e2b6,New Balance,1080 12,2022-08-11,160,purchase
d568d402-9eab-43e4-a749-27d46106e2b6,ON,Cloudmonster 1,2021-05-29,160,purchase
d568d402-9eab-43e4-a749-27d46106e2b6,New Balance,1080 11,2021-05-09,160,purchase
82afa0ad-9706-47a6-83ea-2efe8979df68,Asics,Kayano 29,2024-05-06,160,purchase
82afa0ad-9706-47a6-83ea-2efe8979df68,Nike,Pegasus 35,2020-10-12,140,purchase
82afa0ad-9706-47a6-83ea-2efe8979df68,Saucony,Endorphin Speed 1,2022-03-02,140,purchase
5ce32dff-bd74-4f5a-b7da-a32037919840,Brooks,Glycerin GTS 20,2022-02-04,160,purchase
